"","D-12_1","D-12_2","D-12_3","D-24_1","D-24_2","D-24_3","D-36_1","D-36_2","D-36_3","D-48_1","D-48_2","D-48_3","D-60_1","D-60_2","D-60_3"
"LOC108004185",2.218,2.253,4.167,0.504,0.76,0.677,1.092,0.858,1.268,1.034,0.186,0.767,0.697,1.547,1.314
"LOC107999745",0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0.612
"Trnar-ccu_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC107996657",1.912,0.243,0.17,0.152,0.491,0,0.412,0.287,1.029,0.13,0.562,0.231,1.577,0.622,0.991
"LOC107994612",18.098,9.839,9.784,88.292,89.639,81.725,51.812,57.802,58.825,62.543,77.597,76.654,69.669,70.698,78.89
"LOC114577840",133.341,155.568,144.061,912.557,962.094,894.643,694.743,751.612,665.837,1022.627,859.29,847.524,1069.332,1038.772,887.167
"LOC107996996",3.119,5.148,3.741,1.365,2.94,1.944,2.91,2.814,2.519,0.636,0.802,0.661,2.68,1.523,3.335
"LOC107994535",193.157,207.174,204.619,18.487,16.991,14.884,42.696,48.879,41.184,28.703,28.3,25.977,25.704,24.321,24.597
"LOC108000729",102.434,99.526,103.364,62.509,58.802,57.806,47.586,34.009,39.443,33.921,35.277,39.57,36.631,37.19,35.736
"LOC107998573",43.967,40.777,42.461,49.295,55.364,52.095,36.495,48.867,52.35,48.619,44.375,32.631,24.704,27.38,27.004
"LOC108001778",9.632,12.393,11.411,11.039,9.244,15.098,29.128,20.857,30.824,24.804,37.361,27.675,33.548,25.085,28.629
"LOC108000070",227.474,200.037,197.68,212.648,203.042,201.583,170.533,248.987,214.679,249.254,210.914,206.489,162.225,151.238,150.842
"LOC107996009",9.653,8.131,9.259,16.589,13.61,15.655,12.526,11.47,13.039,12.851,13.328,12.047,19.852,17.116,18.144
"LOC114577852",0,1.222,1.71,0,0.825,0.857,0.691,1.447,8.143,3.927,4.949,2.913,1.323,6.265,1.871
"LOC107997121",0.296,0.3,1.051,2.824,3.446,4.213,3.395,2.134,2.729,3.7,3.996,5.441,4.39,4.62,4.292
"LOC108000411",0.538,0.729,0.127,26.943,24.951,21.206,22.856,24.482,30.455,26.63,24.868,27.264,20.806,21.246,21.937
"LOC107996499",277.724,287.886,269.582,149.658,133.219,148.13,136.719,141.772,141.415,120.967,121.798,114.775,77.267,82.499,78.624
"LOC107993833",0,0,0,4.135,2.698,3.785,0,0.829,1.211,0,0,0.095,2.164,2.178,3.264
"LOC107996513",0,0,0.467,0,0.36,0.094,0.302,0.237,0.243,0.429,0.154,0.445,0.723,0.342,0.204
"LOC114578147",0.199,0,0,0.169,0.182,0.33,0.038,0,0.163,0,0.195,0.032,0,0.259,0.069
